day,H,D,R,T,Iso,L,M,S
0,4990,10,0,0,0,0,0,0
1,4990,10,0,0,0,8,1,1
2,4990,10,0,0,0,8,1,1
3,4989,11,0,0,0,9,1,1
4,4987,13,0,0,0,11,1,1
5,4987,13,0,0,10,11,1,1
6,4987,13,0,0,10,11,1,1
7,4987,13,0,0,10,11,1,1
8,4987,13,0,0,11,11,1,1
9,4987,13,0,0,13,11,1,1
10,4986,13,1,0,12,11,1,1
11,4986,13,1,0,12,11,1,1
12,4985,13,2,0,11,11,1,1
13,4984,10,6,0,7,8,1,1
14,4983,9,8,0,5,7,1,1
15,4983,6,11,0,3,6,0,0
16,4983,6,11,0,3,6,0,0
17,4982,7,11,0,4,7,0,0
18,4980,7,13,0,3,7,0,0
19,4980,7,13,0,4,7,0,0
20,4979,8,13,0,4,8,0,0
21,4978,9,13,0,4,9,0,0
22,4977,10,13,0,5,10,0,0
23,4976,11,13,0,7,11,0,0
24,4976,9,15,0,5,9,0,0
25,4976,8,16,0,5,8,0,0
26,4976,8,16,0,6,8,0,0
27,4976,8,16,0,7,8,0,0
28,4975,9,16,0,8,9,0,0
29,4975,5,20,0,4,5,0,0
30,4975,5,20,0,4,5,0,0
31,4974,6,20,0,4,6,0,0
32,4974,4,22,0,2,4,0,0
33,4974,4,22,0,3,4,0,0
34,4974,4,22,0,3,4,0,0
35,4974,3,23,0,2,3,0,0
36,4974,3,23,0,3,3,0,0
37,4974,2,24,0,2,2,0,0
38,4974,2,24,0,2,2,0,0
39,4974,2,24,0,2,2,0,0
40,4974,2,24,0,2,2,0,0
41,4974,1,25,0,1,1,0,0
42,4974,1,25,0,1,1,0,0
43,4974,1,25,0,1,1,0,0
44,4974,1,25,0,1,1,0,0
45,4974,1,25,0,1,1,0,0
46,4974,0,26,0,0,0,0,0
47,4974,0,26,0,0,0,0,0
48,4974,0,26,0,0,0,0,0
49,4974,0,26,0,0,0,0,0
50,4974,0,26,0,0,0,0,0
51,4974,0,26,0,0,0,0,0
52,4974,0,26,0,0,0,0,0
53,4974,0,26,0,0,0,0,0
54,4974,0,26,0,0,0,0,0
55,4974,0,26,0,0,0,0,0
56,4973,1,26,0,0,1,0,0
57,4973,1,26,0,0,1,0,0
58,4972,2,26,0,0,1,1,0
59,4972,2,26,0,0,1,1,0
60,4972,2,26,0,0,1,1,0
61,4972,2,26,0,1,1,1,0
62,4972,2,26,0,1,1,1,0
63,4972,2,26,0,2,1,1,0
64,4972,2,26,0,2,1,1,0
65,4972,2,26,0,2,1,1,0
66,4972,2,26,0,2,1,1,0
67,4972,2,26,0,2,1,1,0
68,4972,2,26,0,2,1,1,0
69,4972,2,26,0,2,1,1,0
70,4972,1,27,0,1,0,1,0
71,4972,1,27,0,1,0,1,0
72,4972,1,27,0,1,0,1,0
73,4972,1,27,0,1,0,1,0
74,4972,0,28,0,0,0,0,0
75,4972,0,28,0,0,0,0,0
76,4972,0,28,0,0,0,0,0
77,4972,0,28,0,0,0,0,0
78,4972,0,28,0,0,0,0,0
79,4972,0,28,0,0,0,0,0
80,4972,0,28,0,0,0,0,0
81,4972,0,28,0,0,0,0,0
82,4971,1,28,0,0,1,0,0
83,4971,1,28,0,0,1,0,0
84,4971,1,28,0,0,1,0,0
85,4971,1,28,0,0,1,0,0
86,4971,1,28,0,0,1,0,0
87,4971,1,28,0,1,1,0,0
88,4971,1,28,0,1,1,0,0
89,4971,1,28,0,1,1,0,0
90,4971,1,28,0,1,1,0,0
91,4971,1,28,0,1,1,0,0
92,4971,0,29,0,0,0,0,0
93,4971,0,29,0,0,0,0,0
94,4971,0,29,0,0,0,0,0
95,4971,0,29,0,0,0,0,0
96,4971,0,29,0,0,0,0,0
97,4971,0,29,0,0,0,0,0
98,4971,0,29,0,0,0,0,0
99,4971,0,29,0,0,0,0,0
100,4971,0,29,0,0,0,0,0
101,4971,0,29,0,0,0,0,0
102,4971,0,29,0,0,0,0,0
103,4971,0,29,0,0,0,0,0
104,4971,0,29,0,0,0,0,0
105,4971,0,29,0,0,0,0,0
106,4971,0,29,0,0,0,0,0
107,4971,0,29,0,0,0,0,0
108,4971,0,29,0,0,0,0,0
109,4971,0,29,0,0,0,0,0
110,4971,0,29,0,0,0,0,0
